WeekLog8:Questions(25-05-13),SpanFromLeft
问题数:19;有回答的问题:12;回答数:71;总支持：72.;平均回答数：3.73684,SpanFromLeft,SpanFromLeft
Question ID,Post Date,Answers,Answer Support,Question Title
463637,2013-05-14,33,"{"12", "9", "8", "6", "5", "3", "2", "2", "1", "1", "1", "1", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "1", "0", "0", "0"}",你所知道的具有警示性的实验室事故有哪些？
463740,2013-05-14,18,"{"4", "3", "2", "1", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0"}",如果每个概念仅限200字，你能够解释清楚哪些自己专业的概念呢？
463423,2013-05-13,7,"{"8", "0", "0", "0", "0", "0", "0"}",将来派出的火星探险人员在火星生活中会遇到哪些困难？
464331,2013-05-17,3,"{"2", "0", "0"}",人体内酸碱平衡是如何自我感知和调节的呢？
463731,2013-05-14,3,"{"0", "0", "0"}",高考考试前填志愿、考完自己估分填志愿和看着最终分数填志愿哪个更好些？
464349,2013-05-17,1,{"0"},小行星撞地球的威力是如何估算的？
464322,2013-05-17,1,{"0"},炮弹是如何引爆的？
464042,2013-05-16,1,{"0"},新加坡的鞭刑是什么样子的？
463893,2013-05-15,1,{"0"},太阳风暴为什么能对电子设备和电网带来影响？
463887,2013-05-15,1,{"0"},飞行员使用 iPad 代替传统的飞行手册安全么？
463531,2013-05-13,1,{"0"},物理学是问如何工作，哲学是问为什么的么？
463421,2013-05-13,1,{"0"},谷歌眼镜会影响人的视力么？
464354,2013-05-17,0,{},印度大头娃娃患的脑积水是一种什么样疾病？
463898,2013-05-15,0,{},为什么会发生太阳风暴？
463890,2013-05-15,0,{},感冒导致声带麻痹是什么情况？
463736,2013-05-14,0,{},现在成为传统学科的专家越来越难了还是越来越容易了？
463642,2013-05-14,0,{},病毒的传染能力受哪些因素影响？
463419,2013-05-13,0,{},水中气泡上升过程中为什么会晃来晃去？
463416,2013-05-13,0,{},水下如何吐出环形的泡泡呢？
