WeekLog14:Questions(27-06-13),SpanFromLeft
问题数:12;有回答的问题:9;回答数:18;总支持：30.;平均回答数：1.5,SpanFromLeft,SpanFromLeft
Question ID,Post Date,Answers,Answer Support,Question Title
478394,2013-06-26,5,"{"9", "1", "1", "0", "0"}",生物学家是如何得知化石所对应的动物外形的？
478406,2013-06-26,3,"{"0", "0", "1"}",隆胸是放进去什么东西了？为什么会被压爆呢？
478979,55分钟前,2,"{"5", "0"}",汽车刹车时为什么要使用 ABS (Antilock Braking System)？
478919,今天,2,"{"7", "3"}",为什么珍珠是球形的？
478888,今天,2,"{"0", "0"}",将大脑切片到底是有什么用处？
478907,今天,1,{"0"},星期五做手术死亡率最高？
478892,今天,1,{"0"},蟑螂的腿毛有什么用？（有蟑螂图一张）
478879,今天,1,{"2"},Google 是如何把 Google Earth 里面的云彩都去除的呢？
478411,2013-06-26,1,{"1"},iPad 电池在太热太冷的情况夏无法充电是为什么呢？
478926,2小时前,0,{},13年巴黎航空展的这几架飞机各有什么特点呢？
478451,2013-06-26,0,{},新型的系统如何让告密者更安全的？
478317,2013-06-26,0,{},王亚平是左撇子么？
