WeekLog6:Questions(04-05-13),SpanFromLeft
问题数:28;有回答的问题:18;回答数:33;总支持48;平均回答数：1.17857,SpanFromLeft,SpanFromLeft
Question ID,Post Date,Answers,Answer Support,Question Title
460345,2013-04-28,4,"{"1", "1", "1", "0"}",喝果汁等含有柠檬酸多的饮料会造成酸血症么？
461261,2013-05-03,3,"{"1", "1", "0"}",为什么我国设置天文系的高校很少？
461246,2013-05-03,3,"{"1", "1", "0"}",世界上最大的橡皮鸭这件来自荷兰的艺术品该如何品读呢？
460379,2013-04-28,3,"{"9", "3", "0"}",土星木星上面不同的颜色的区域是怎么形成的？
461321,2013-05-03,2,"{"3", "0"}",玻璃幕墙的钢化玻璃突然爆裂是什么原因造成的呢？
461061,2013-05-02,2,"{"0", "0"}",今年冬天羽绒服会涨价么？
461059,2013-05-02,2,"{"6", "0"}",穿羽绒服可能感染禽流感么？
461025,2013-05-02,2,"{"3", "1"}",落在地球上的陨石都有哪些来源？
460336,2013-04-28,2,"{"0", "0"}",通过强迫自己处在恐怖的环境中等方式“练胆”起作用么？
460295,2013-04-28,2,"{"3", "2"}",薛定谔的猫重要在哪里？
461108,2013-05-02,1,{"0"},化学实验室中有什么外行人不知道的安全指南？
461110,2013-05-02,1,{"1"},生物实验室中有什么鲜为人知的安全指南？
461121,2013-05-02,1,{"2"},物理实验室中有什么鲜为人知的安全指南？
460802,2013-04-30,1,{"2"},电网中电压明显突然升高（浪涌）可能是什么原因造成的么？
461339,2013-05-03,1,{"0"},煤矿自燃的原因、预防措施、补救措施是什么？
461279,2013-05-03,1,{"2"},如果开发出了一个可穿戴的计算设备平台，你能想到哪些比较好玩的应用呢？
461254,2013-05-03,1,{"4"},中性氢21厘米辐射是什么？
460342,2013-04-28,1,{"0"},「水质老化」的说法有道理么？
461132,2013-05-02,0,{},人脸混合是怎么算出来的呢？
461335,2013-05-03,0,{},为什么森特勒利亚市煤矿起火可以燃烧几十年还不熄灭？
461330,2013-05-03,0,{},为什么淬火可以让刀剑变得更硬？
461325,2013-05-03,0,{},钢化玻璃碎片从百米高楼落下来造成的伤害有多大？
461265,2013-05-03,0,{},21厘米中性氢为什么可以用来探测宇宙的第一屡曙光？
461092,2013-05-02,0,{},地球会因为人类的活动变成金星那样贫瘠么？
461089,2013-05-02,0,{},「星地量子通信」地基实验是什么？
460389,2013-04-28,0,{},true color 和 natural color 的区别是什么？
460339,2013-04-28,0,{},哪些原因可能导致在运动后猝死？
460334,2013-04-28,0,{},表情（Emoji）符号的设计需要考虑到哪些因素？
