WeekLog7:Questions(11-05-13),SpanFromLeft
问题数:27;有回答的问题:23;回答数:59;总支持：130.;平均回答数：2.18519,SpanFromLeft,SpanFromLeft
Question ID,Post Date,Answers,Answer Support,Question Title
462619,2013-05-09,13,"{"18", "4", "2", "2", "1", "0", "0", "0", "1", "0", "0", "0", "0"}",《疯狂原始人》电影中的这些萌动物在现实世界中的对应是什么？
462866,2013-05-10,7,"{"1", "1", "1", "1", "0", "0", "0"}",椰子里面为什么会有这么多液体？
462562,2013-05-09,6,"{"14", "5", "4", "0", "0", "0"}",等宽字体一般用在什么场合？
461999,2013-05-06,5,"{"8", "7", "5", "3", "3"}",某个星座的流星雨是什么意思？
462390,2013-05-08,3,"{"0", "0", "0"}",为什么这个题目小孩子很容易做出来而程序员要一个小时？
461852,2013-05-05,3,"{"1", "0", "0"}",物理学中的作用量是什么意思？
462416,2013-05-08,2,"{"3", "0"}",各个国家的法定结婚年龄是什么样的？
462181,2013-05-07,2,"{"2", "1"}",《生活大爆炸》第6季第21集里，Sheldon 和 Amy 在白板上玩的是什么游戏？
462000,2013-05-06,2,"{"1", "0"}",流星雨有哪些观测方法？
461991,2013-05-06,2,"{"6", "3"}",什么是合法避税，以及如何合法避税？
461917,2013-05-06,2,"{"10", "0"}",系外行星（Exoplanet）的主要的发现手段是什么？
462882,2013-05-10,1,{"2"},Amazon 的裸眼3D屏幕是什么原理？
462865,2013-05-10,1,{"0"},人的皮肤为什么有细小的褶皱？
462848,2013-05-10,1,{"0"},如何找到落在地球上的陨石的记录呢？
462560,2013-05-09,1,{"2"},年龄低的儿童（例如16岁，13岁）故意杀人一般是如何量刑的？
462345,2013-05-08,1,{"0"},不同的数据需要不同方式的安全防护么（诺顿为什么要推出六款不同的安全U盘呢）？
462245,2013-05-07,1,{"5"},哈佛大学实现生物间精神控制是什么原理？
462242,2013-05-07,1,{"1"},塑料中的双酚A起什么作用？
462202,2013-05-07,1,{"0"},坐在大型的仙人球上面不会扎到屁股么？
462196,2013-05-07,1,{"0"},在大型的宴会等需要大量啤酒的场合啤酒瓶盖是有什么快捷的方法批量打开么？
461981,2013-05-06,1,{"1"},为什么我求出来的这个积分式子的两组上下限最后得出的结果不同呢？
461922,2013-05-06,1,{"11"},关于系外行星（Exoplanet）有哪些有用的网站？
461849,2013-05-05,1,{"0"},当我们在用热力学和统计物理来解释现象时我们在解释什么？
462659,2013-05-09,0,{},人脸识别技术的困难在哪里？
462237,2013-05-07,0,{},双酚A会影响人的激素水平么？
462229,2013-05-07,0,{},现在太空垃圾的现状如何？
461995,2013-05-06,0,{},流星雨的成因是什么？
