用户：众生皆蛋白长老:回答问题(29-05-13),SpanFromLeft
总回答数：437； 总支持数：1843； 总反对数：103；平均支持数4.21739；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
130290,2012-03-29,183,9,Hyperlink["女生叫“妹纸”，男生叫什么？", "http://www.guokr.com/answer/130290/redirect/"]
250130,2012-06-25,91,8,Hyperlink["为什么有正经工作的女的长的都不好看？", "http://www.guokr.com/answer/250130/redirect/"]
207717,2012-06-01,89,2,Hyperlink["现在书店怎么越来越多的励志书和成功学？", "http://www.guokr.com/answer/207717/redirect/"]
174576,2012-05-05,64,2,Hyperlink["孝感高三学生打氨基酸备战高考，打的什么氨基酸，有用吗？", "http://www.guokr.com/answer/174576/redirect/"]
182791,2012-05-12,57,5,Hyperlink["有办法让身高临时增加数厘米，维持数个小时，足以骗过体检。这是真的吗？", "http://www.guokr.com/answer/182791/redirect/"]
168452,2012-04-30,56,1,Hyperlink["教室中万一电风扇掉下来，在哪里最安全？", "http://www.guokr.com/answer/168452/redirect/"]
232892,2012-06-17,56,0,Hyperlink["西瓜应该沿经线切，还是沿纬线切？", "http://www.guokr.com/answer/232892/redirect/"]
209424,2012-06-03,47,2,Hyperlink["”最美司机“吴斌到底被什么所伤？", "http://www.guokr.com/answer/209424/redirect/"]
145624,2012-04-12,40,0,Hyperlink["如果泰坦尼克号最后没有撞到冰山，结局会怎样？", "http://www.guokr.com/answer/145624/redirect/"]
218375,2012-06-09,40,1,Hyperlink["救火英雄赖宁的事实是真的去救火还是去山上看热闹？这件事情的真相是什么？", "http://www.guokr.com/answer/218375/redirect/"]
450937,2013-02-27,36,0,Hyperlink["重口味的女生会特别遭人讨厌吗？", "http://www.guokr.com/answer/450937/redirect/"]
176937,2012-05-07,31,0,Hyperlink["这是什么物种？真的存在么？", "http://www.guokr.com/answer/176937/redirect/"]
191722,2012-05-20,28,6,Hyperlink["在辩论赛上如何反对同性恋婚姻合法化？", "http://www.guokr.com/answer/191722/redirect/"]
474857,2013-04-22,26,1,Hyperlink["【来投票吧！】二次元中，你最喜爱什么发色的妹子？（最后阶段投票~）", "http://www.guokr.com/answer/474857/redirect/"]
219611,2012-06-10,25,0,Hyperlink["房间里刚才飞进来两只蝙蝠，明天我会变成蝙蝠侠么？", "http://www.guokr.com/answer/219611/redirect/"]
236941,2012-06-19,25,4,Hyperlink["这样不就是超光速了么？问题出在哪里？", "http://www.guokr.com/answer/236941/redirect/"]
205208,2012-05-30,23,0,Hyperlink["怎样证明果壳中各种谣言粉碎以及科普知识的权威性？", "http://www.guokr.com/answer/205208/redirect/"]
175548,2012-05-06,22,0,Hyperlink["关于先父遗传和要不要娶处女的问题，都别扯来扯去了吧？", "http://www.guokr.com/answer/175548/redirect/"]
119557,2012-03-17,20,0,Hyperlink["为什么学校男澡堂里面洗澡时，有人喜欢面朝大家洗，有人喜欢背朝大家喜，有人两个方向交互着洗？", "http://www.guokr.com/answer/119557/redirect/"]
144766,2012-04-11,19,0,Hyperlink["为什么有时候在拉屎的同时会流泪？", "http://www.guokr.com/answer/144766/redirect/"]
158875,2012-04-22,18,0,Hyperlink["草莓星冰乐用“胭脂虫”尸体添色素是真的嘛？", "http://www.guokr.com/answer/158875/redirect/"]
184872,2012-05-14,16,0,Hyperlink["网传日本人千年后可能灭绝，是真的假的啊？", "http://www.guokr.com/answer/184872/redirect/"]
223967,2012-06-12,16,2,Hyperlink["你如何看待高考时举报别人作弊的学生？", "http://www.guokr.com/answer/223967/redirect/"]
158562,2012-04-22,15,0,Hyperlink["如何将植物科属种拟人萌化？", "http://www.guokr.com/answer/158562/redirect/"]
474636,2013-04-22,15,0,Hyperlink["地震中受损的这座楼究竟是建得好还是不好？", "http://www.guokr.com/answer/474636/redirect/"]
178733,2012-05-09,14,5,Hyperlink["地动仪是仿造的？", "http://www.guokr.com/answer/178733/redirect/"]
201686,2012-05-28,14,0,Hyperlink["为什么外星人多被描写成章鱼？", "http://www.guokr.com/answer/201686/redirect/"]
203636,2012-05-29,14,0,Hyperlink["如果你是4楼，面对这样的待回帖，怎么破？", "http://www.guokr.com/answer/203636/redirect/"]
211988,2012-06-05,14,0,Hyperlink["为什么西游记里三太子设定要变白马被唐僧骑呢？", "http://www.guokr.com/answer/211988/redirect/"]
169253,2012-05-01,13,0,Hyperlink["南京有大量蛤蟆聚集，是地震前兆吗？ ", "http://www.guokr.com/answer/169253/redirect/"]
209198,2012-06-03,13,0,Hyperlink["为什么老虎、老鹰这些大自然中的霸王反而濒临灭绝呢？", "http://www.guokr.com/answer/209198/redirect/"]
209315,2012-06-03,13,1,Hyperlink["谣言粉碎机真的可靠吗？", "http://www.guokr.com/answer/209315/redirect/"]
368801,2012-10-26,13,2,Hyperlink["怎么让物理和数学的成绩高高在上？", "http://www.guokr.com/answer/368801/redirect/"]
155163,2012-04-19,12,0,Hyperlink["如果现实中一个人真有能力让周围的时间停止，那么他能干些什么呢？", "http://www.guokr.com/answer/155163/redirect/"]
