用户：子夜:回答问题(29-05-13),SpanFromLeft
总回答数：161； 总支持数：408； 总反对数：12；平均支持数2.53416；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
394697,2012-11-26,48,0,Hyperlink["有一关系特别好的网友跟我说了一串数字 9694482648664，这串数字是什么意思？", "http://www.guokr.com/answer/394697/redirect/"]
382676,2012-11-12,31,0,Hyperlink["为什么电子元件里有金子？", "http://www.guokr.com/answer/382676/redirect/"]
380238,2012-11-09,28,0,Hyperlink["电脑蓝屏里面到底写了啥？", "http://www.guokr.com/answer/380238/redirect/"]
357702,2012-10-11,15,3,Hyperlink["为什么在很多科幻影视作品中，在宇宙间航行的飞船都有机翼这部分，但在宇宙真空状态下，机翼这种设计能起到作用吗？", "http://www.guokr.com/answer/357702/redirect/"]
375382,2012-11-03,15,0,Hyperlink["上海图书馆的自动扶梯没有人站立时能以极低速运行，一旦有人站上去就加速了。这是重力感应吗？求详解~", "http://www.guokr.com/answer/375382/redirect/"]
440903,2013-01-31,15,0,Hyperlink["在湿滑的路面上行走有什么技巧吗？", "http://www.guokr.com/answer/440903/redirect/"]
449153,2013-02-22,15,0,Hyperlink["为什么一般无线路由器的初始地址都是192.168.1.1?", "http://www.guokr.com/answer/449153/redirect/"]
466791,2013-04-07,15,0,Hyperlink["人的身体中枪，嘴里会吐血吗？", "http://www.guokr.com/answer/466791/redirect/"]
366000,2012-10-23,13,0,Hyperlink["Gmail 上不去怎么办？", "http://www.guokr.com/answer/366000/redirect/"]
358060,2012-10-12,12,0,Hyperlink["狙击镜的瞄准镜在枪管上方，为何射出的子弹会命中瞄准器的中心？", "http://www.guokr.com/answer/358060/redirect/"]
365043,2012-10-22,12,0,Hyperlink["为什么核电站一般都会建造在海边呢？从核电厂里流出的水会不会有辐射呢？", "http://www.guokr.com/answer/365043/redirect/"]
385930,2012-11-15,12,0,Hyperlink["胃结石是什么，为什么不溶于盐酸却能溶于碳酸？", "http://www.guokr.com/answer/385930/redirect/"]
328330,2012-08-31,7,3,Hyperlink["漂流瓶能从中国漂到苏格兰吗？", "http://www.guokr.com/answer/328330/redirect/"]
344274,2012-09-21,7,0,Hyperlink["狙击手在射击前，需要做哪些准备工作？要用到什么仪器？", "http://www.guokr.com/answer/344274/redirect/"]
344179,2012-09-21,6,0,Hyperlink["照片中可以区分日出和夕阳吗？如果可以，如何区分？", "http://www.guokr.com/answer/344179/redirect/"]
359774,2012-10-15,6,0,Hyperlink["人真的可以在舌头上熄灭烟头而不被烫伤吗？", "http://www.guokr.com/answer/359774/redirect/"]
376490,2012-11-05,6,0,Hyperlink["怎么样看出一张图片是否p过，要求技术贴，是否有什么能看出p过的痕迹？", "http://www.guokr.com/answer/376490/redirect/"]
382969,2012-11-12,6,0,Hyperlink["计算机病毒的传播途径有哪些？", "http://www.guokr.com/answer/382969/redirect/"]
405073,2012-12-09,6,0,Hyperlink["大家在看果壳问答里的答案时会不会受粪叉的影响？", "http://www.guokr.com/answer/405073/redirect/"]
416302,2012-12-25,6,0,Hyperlink["关机的电脑USB一样把手机充电了，这是什么原理？", "http://www.guokr.com/answer/416302/redirect/"]
416437,2012-12-25,5,0,Hyperlink["怎么擦嘴又不弄脏餐巾？", "http://www.guokr.com/answer/416437/redirect/"]
449209,2013-02-22,5,0,Hyperlink["在本机上可以设置ip地址，这个地址是干什么用的？无线路由器那个192.168.1.1又是干嘛用的？本机网卡不是有地址，它跟mac地址什么关系，有什么作用啊？", "http://www.guokr.com/answer/449209/redirect/"]
341348,2012-09-18,4,0,Hyperlink["为什么演奏钢琴的人身体也会跟着抖动？", "http://www.guokr.com/answer/341348/redirect/"]
368153,2012-10-26,4,0,Hyperlink["用强酸拆战时留下的哑弹可行么？", "http://www.guokr.com/answer/368153/redirect/"]
397422,2012-11-29,4,0,Hyperlink["北京石景山神秘巨响持续数分钟 首钢否认“高炉爆破”\n怪声是啥呢", "http://www.guokr.com/answer/397422/redirect/"]
416346,2012-12-25,4,0,Hyperlink["手机耗电大和SIM卡旧了有关吗？", "http://www.guokr.com/answer/416346/redirect/"]
423538,2013-01-04,4,0,Hyperlink["上课吃东西大家怎么评价，大部分国内老师禁止学生自习课或上课吃东西，但我习惯吃点东西。上课吃东西到底好不好？", "http://www.guokr.com/answer/423538/redirect/"]
444199,2013-02-08,4,0,Hyperlink["我想死，怎么办？", "http://www.guokr.com/answer/444199/redirect/"]
320948,2012-08-23,3,0,Hyperlink["有人会天生不识路吗？", "http://www.guokr.com/answer/320948/redirect/"]
335736,2012-09-10,3,0,Hyperlink["完全禁止某个程序联网或者只指定访问某个特定IP（域名）用什么软件或者防火墙?", "http://www.guokr.com/answer/335736/redirect/"]
347611,2012-09-25,3,1,Hyperlink["两个黑洞相撞会发生什么？", "http://www.guokr.com/answer/347611/redirect/"]
358171,2012-10-12,3,0,Hyperlink["古代埃及制作木乃伊的时候，内脏和大脑怎么处理？", "http://www.guokr.com/answer/358171/redirect/"]
358247,2012-10-12,3,0,Hyperlink["电信的天翼手机为什么就不能改到移动或联通网络中使用呢？", "http://www.guokr.com/answer/358247/redirect/"]
378090,2012-11-07,3,0,Hyperlink["想问个做RJ-45跳线的问题。", "http://www.guokr.com/answer/378090/redirect/"]
427815,2013-01-09,3,0,Hyperlink["如何勾搭这些动漫展cosplay的漂亮妹子呢？", "http://www.guokr.com/answer/427815/redirect/"]
434822,2013-01-18,3,0,Hyperlink["“蟹六跪而二螯”  蟹不是有八只脚的吗？", "http://www.guokr.com/answer/434822/redirect/"]
447783,2013-02-19,3,0,Hyperlink["怎么样防Windows XP登录密码被恶心的同事破解？", "http://www.guokr.com/answer/447783/redirect/"]
469098,2013-04-12,3,0,Hyperlink["狗的鼻子为什么特别灵？", "http://www.guokr.com/answer/469098/redirect/"]
320062,2012-08-22,2,0,Hyperlink["如何训练猫猫在固定地点（比如洗手间的马桶）便便呢？", "http://www.guokr.com/answer/320062/redirect/"]
321285,2012-08-23,2,0,Hyperlink["戴了很多年的银首饰突然变得很黑是怎么回事？是身体有问题吗？", "http://www.guokr.com/answer/321285/redirect/"]
322274,2012-08-24,2,0,Hyperlink["耳机塞鼻，张嘴成扩音器？", "http://www.guokr.com/answer/322274/redirect/"]
341044,2012-09-17,2,0,Hyperlink["长时间骑自行车，最考验人的哪个部位？", "http://www.guokr.com/answer/341044/redirect/"]
355346,2012-10-08,2,0,Hyperlink["为什么果壳的网站是.com而不是.org呢？", "http://www.guokr.com/answer/355346/redirect/"]
365843,2012-10-23,2,0,Hyperlink["同卵双胞胎一定长得很像么，会不会越长越不像，两人的DNA完全一样么？", "http://www.guokr.com/answer/365843/redirect/"]
368161,2012-10-26,2,0,Hyperlink["地铁可以倒车吗？", "http://www.guokr.com/answer/368161/redirect/"]
368294,2012-10-26,2,0,Hyperlink["狙击手在执行任务时，如果内急怎么办？是穿成人纸尿裤吗还是有别的办法？", "http://www.guokr.com/answer/368294/redirect/"]
382374,2012-11-12,2,0,Hyperlink["我校门前有一天桥，倾角设为60度（高度约6m）。假设一WS男身高，啊不，“眼高”175cm，那么走在他上方的菇凉应该穿多长的mini skirt才能保证自己的安全呢???", "http://www.guokr.com/answer/382374/redirect/"]
416355,2012-12-25,2,0,Hyperlink["果壳里，“向”是什么东西？", "http://www.guokr.com/answer/416355/redirect/"]
416817,2012-12-25,2,0,Hyperlink["什么样的事情比较容易坚持下来？", "http://www.guokr.com/answer/416817/redirect/"]
423487,2013-01-04,2,0,Hyperlink["什么闹钟铃声最有效果？", "http://www.guokr.com/answer/423487/redirect/"]
426186,2013-01-07,2,0,Hyperlink["在生活中，你所遇到的最差的设计是什么？\n", "http://www.guokr.com/answer/426186/redirect/"]
427631,2013-01-09,2,1,Hyperlink["图片中这样搭桌子能保持稳定吗，有什么窍门？", "http://www.guokr.com/answer/427631/redirect/"]
435539,2013-01-20,2,0,Hyperlink["刚上大一学的是计算机专业，可是我的计算机基础太糟了，想在假期学点东西充实一下自己，可又无从下手，希望有前辈可以指点迷津，真诚感谢", "http://www.guokr.com/answer/435539/redirect/"]
439160,2013-01-28,2,0,Hyperlink["果壳问答的新logo是什么意思？看不懂啊~囧~", "http://www.guokr.com/answer/439160/redirect/"]
448625,2013-02-21,2,0,Hyperlink["发电厂巨大的烟囱是做什么的？冒出巨量的白色烟雾是污染的罪魁祸首吗？", "http://www.guokr.com/answer/448625/redirect/"]
322085,2012-08-24,1,0,Hyperlink["3D打印究竟可以打印些什么？", "http://www.guokr.com/answer/322085/redirect/"]
322492,2012-08-24,1,0,Hyperlink["鬼压床是怎么回事？", "http://www.guokr.com/answer/322492/redirect/"]
324318,2012-08-27,1,0,Hyperlink["这个流行了很多年的清除垃圾文件的东西真的有效果吗？", "http://www.guokr.com/answer/324318/redirect/"]
334531,2012-09-08,1,0,Hyperlink["移动硬盘吱吱响，设备管理器里有显示，但是没盘符，应该怎么修？", "http://www.guokr.com/answer/334531/redirect/"]
341412,2012-09-18,1,0,Hyperlink["竖笛之类吹奏乐器有防止长时间吹奏后口水进入的设计吗？", "http://www.guokr.com/answer/341412/redirect/"]
341427,2012-09-18,1,1,Hyperlink["遇到爆炸该怎么办，是应该趴在地上吗？", "http://www.guokr.com/answer/341427/redirect/"]
344231,2012-09-21,1,0,Hyperlink["为什么手机振动时向右旋转", "http://www.guokr.com/answer/344231/redirect/"]
347569,2012-09-25,1,1,Hyperlink["用网线接入的同时连上另外的一个wifi，网速能够叠加吗？不能又是为什么呢？", "http://www.guokr.com/answer/347569/redirect/"]
355171,2012-10-08,1,0,Hyperlink["还有20天就要跑校运会的1500米了，廉颇老矣的我怎么训练自己", "http://www.guokr.com/answer/355171/redirect/"]
355198,2012-10-08,1,0,Hyperlink["果壳现在肿么了", "http://www.guokr.com/answer/355198/redirect/"]
355245,2012-10-08,1,0,Hyperlink["ATM输入密码时候的声音，每个数字都不一样吗？心里暗示？", "http://www.guokr.com/answer/355245/redirect/"]
355274,2012-10-08,1,0,Hyperlink["科幻电影中哪些生物设定是有错误的？", "http://www.guokr.com/answer/355274/redirect/"]
358331,2012-10-12,1,0,Hyperlink["自行车蹬踏的时候有什么要注意的？", "http://www.guokr.com/answer/358331/redirect/"]
359470,2012-10-14,1,0,Hyperlink["为什么电话的听筒在左边，键盘在右边？", "http://www.guokr.com/answer/359470/redirect/"]
365038,2012-10-22,1,0,Hyperlink["为什么果壳的插入图片可以自动生成一排编码。。为什么这个编码点完确定后，就是图片了。。", "http://www.guokr.com/answer/365038/redirect/"]
377933,2012-11-07,1,0,Hyperlink["谷歌在输入框输入内容可以搜索但是打不开子页面。可以看到搜索速度还是非常快的，0,0几秒。为何？", "http://www.guokr.com/answer/377933/redirect/"]
378021,2012-11-07,1,0,Hyperlink["果壳的玩法不是像qq空间那样吗？怎么都找不到发心情的地方？今天刚听朋友介绍来玩的，发现有点不懂！", "http://www.guokr.com/answer/378021/redirect/"]
397163,2012-11-29,1,0,Hyperlink["大风后的北京，空气清新，明月当头，可是在明月下的那一个亮点又是何物呢？", "http://www.guokr.com/answer/397163/redirect/"]
