用户：wugui:回答问题(28-05-13),SpanFromLeft
总回答数：174； 总支持数：452； 总反对数：30；平均支持数2.5977；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
290278,2012-07-24,73,1,Hyperlink["如果你给果壳网loading页面写一句文案，你会写什么？", "http://www.guokr.com/answer/290278/redirect/"]
413318,2012-12-20,42,1,Hyperlink["你是通过什么渠道加入果壳的？", "http://www.guokr.com/answer/413318/redirect/"]
464860,2013-04-03,28,0,Hyperlink["zzz代表睡觉的起源是啥?", "http://www.guokr.com/answer/464860/redirect/"]
477014,2013-04-25,28,0,Hyperlink["你所学的专业中，有哪些特别有效的分析和解决问题的方法？", "http://www.guokr.com/answer/477014/redirect/"]
405643,2012-12-10,27,4,Hyperlink["餐桌上为什么一定要敬酒？敬酒和敬茶、敬可乐、敬紫菜汤到底有什么不同？", "http://www.guokr.com/answer/405643/redirect/"]
479239,2013-04-29,26,0,Hyperlink["编程和数学建模的区别是什么？", "http://www.guokr.com/answer/479239/redirect/"]
290287,2012-07-24,12,0,Hyperlink["如果果壳网遇到手机端网络连接错误或者页面不存在，让你写一句文案，你觉得写什么好呢？", "http://www.guokr.com/answer/290287/redirect/"]
427701,2013-01-09,12,0,Hyperlink["世界上最美的数字是什么？为什么？", "http://www.guokr.com/answer/427701/redirect/"]
277715,2012-07-16,10,0,Hyperlink["双臂举高时，为什么下牙咬不到上嘴唇？", "http://www.guokr.com/answer/277715/redirect/"]
453568,2013-03-07,10,0,Hyperlink["微博话题#1999战记#为什么火起来了？", "http://www.guokr.com/answer/453568/redirect/"]
464461,2013-04-02,8,6,Hyperlink["科学处理情绪的方法有哪些？", "http://www.guokr.com/answer/464461/redirect/"]
464936,2013-04-03,8,0,Hyperlink["什么东西创建起来比摧毁它更容易？", "http://www.guokr.com/answer/464936/redirect/"]
418319,2012-12-27,7,0,Hyperlink["举杯邀明月，对影成三人。什么样的情况下，什么月相的时候，或者是地月是什么样的关系，才能照出地球上的人有两个影子？", "http://www.guokr.com/answer/418319/redirect/"]
211616,2012-06-05,6,0,Hyperlink["为什么说「教学相长」？「教学相长」是如何让自己受益的？", "http://www.guokr.com/answer/211616/redirect/"]
314549,2012-08-16,6,0,Hyperlink["在水里，为什么要放松才能浮起来？", "http://www.guokr.com/answer/314549/redirect/"]
402672,2012-12-06,6,0,Hyperlink["如果没有智能手机，我的生活会变得更简单吗？", "http://www.guokr.com/answer/402672/redirect/"]
