用户：Cast:回答问题(27-05-13),SpanFromLeft
总回答数：79； 总支持数：307； 总反对数：9；平均支持数3.88608；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
245709,2012-06-23,62,0,Hyperlink["果壳网应该塑造什么样的用户价值观？", "http://www.guokr.com/answer/245709/redirect/"]
483665,2013-05-08,32,1,Hyperlink["练武功为什么要先扎马步？", "http://www.guokr.com/answer/483665/redirect/"]
340523,2012-09-17,28,1,Hyperlink["让读初一的弟弟明白「抵制日货不对」「仇视日本人也不对」，怎样跟他解释比较好？", "http://www.guokr.com/answer/340523/redirect/"]
371665,2012-10-30,20,0,Hyperlink["淘宝店主为何频频疲劳致死，皇冠淘宝店主一天的生活究竟是设么样的？为什么挣那么多不雇人来做呢？", "http://www.guokr.com/answer/371665/redirect/"]
294424,2012-07-28,19,0,Hyperlink["老公要生日了，送他什么礼物比较好呢？", "http://www.guokr.com/answer/294424/redirect/"]
442839,2013-02-05,16,0,Hyperlink["为什么亲戚朋友们都热衷于打听别人的工资？心理学怎么阐述这种普遍的群体现象？", "http://www.guokr.com/answer/442839/redirect/"]
239777,2012-06-20,15,0,Hyperlink["男人会喜欢搭讪\"眼镜妹\"吗，戴眼镜会影响自己在男性眼中的魅力吗？", "http://www.guokr.com/answer/239777/redirect/"]
296507,2012-07-30,13,3,Hyperlink["女朋友说她有个男性朋友比男朋友还重要，该用什么态度面对此事？", "http://www.guokr.com/answer/296507/redirect/"]
144711,2012-04-11,12,0,Hyperlink["如何确定尸体已经焚化的被害人死于氰化物中毒？", "http://www.guokr.com/answer/144711/redirect/"]
396020,2012-11-27,8,0,Hyperlink["除了理发店里和移动硬盘里的人，还有哪些不从事教育工作的人也被称作“老师”？", "http://www.guokr.com/answer/396020/redirect/"]
412582,2012-12-19,8,0,Hyperlink["果壳网有哪些你使用过程中不满意的地方？", "http://www.guokr.com/answer/412582/redirect/"]
226265,2012-06-13,7,0,Hyperlink["关于世界杯和欧洲杯等这些足球盛会，有什么流传很久的笑话吗？", "http://www.guokr.com/answer/226265/redirect/"]
424822,2013-01-06,7,1,Hyperlink["一个我很讨厌的人，把某个卡通人物当做自己的象征，现在我看到这个卡通人物就烦，怎么办？", "http://www.guokr.com/answer/424822/redirect/"]
351454,2012-09-30,6,0,Hyperlink["大家对果壳网的网站速度有什么看法？", "http://www.guokr.com/answer/351454/redirect/"]
481015,2013-05-03,6,0,Hyperlink["为什么人们都认牌子？", "http://www.guokr.com/answer/481015/redirect/"]
249261,2012-06-25,5,0,Hyperlink["与滑动轴承相比，滚动轴承有什么不同之处？它又有什么优劣之处？", "http://www.guokr.com/answer/249261/redirect/"]
355118,2012-10-08,5,0,Hyperlink["武汉两成学生承认早恋，该如何给孩子传递正确的恋爱教育？", "http://www.guokr.com/answer/355118/redirect/"]
372332,2012-10-31,5,0,Hyperlink["作为一个爱厨艺的妹子，我应该选食品学中哪个专业呢？会不会今后找不到工作呢？", "http://www.guokr.com/answer/372332/redirect/"]
350493,2012-09-28,4,0,Hyperlink["有些人为什么照相会“不上相”？", "http://www.guokr.com/answer/350493/redirect/"]
417016,2012-12-26,4,0,Hyperlink["什么样的事情比较容易坚持下来？", "http://www.guokr.com/answer/417016/redirect/"]
